Date,Tweet,User,Tweet ID,Tweet Url,Cleaned Tweet,Sentiment,Confidence
2022-12-20 12:05:59+00:00,"Just realized that people (including myself) are mis-understanding/using the RouteCollection protocol in Vapor. 😅

This shouldn't be a controller, it should use controllers to register routes. Clean code. 💡🧹

#SwiftLang #codevapor #vaporswift #FeatherCMS",tiborbodecs,1605172658596990976,https://twitter.com/tiborbodecs/status/1605172658596990976,"realized people (including myself) mis-understanding/using routecollection protocol vapor. 😅 controller, use controller register routes. clean code. 💡🧹 swiftlang codevapor vaporswift feathercms",neutral,0.6086848378181458
2022-12-19 12:49:16+00:00,"Wow, how did I miss this... it looks promising. 👏👏👏

#SwiftLang #aws #linux #server #codevapor #feathercms 

https://t.co/y37R3EgVD0",tiborbodecs,1604821164873900032,https://twitter.com/tiborbodecs/status/1604821164873900032,"wow, miss this... look promising. 👏👏👏 swiftlang aws linux server codevapor feathercms",positive,0.9780089855194092
2022-12-15 06:40:53+00:00,"TIL you can serve a @react app from your @codevapor back end 🤩

Anyone with experience of doing this, and possibly using @nextjs too?

Considering doing this for a personal site with a blog component.

Cons: will take more time.
Pros: will get to explore Vapor more.😁",joforselldev,1603278906836107266,https://twitter.com/joforselldev/status/1603278906836107266,"til serve app back end 🤩 anyone experience this, possibly using too? considering personal site blog component. cons: take time. pros: get explore vapor more.😁",positive,0.6810322403907776
2022-12-11 20:37:04+00:00,"I suppose I just leveled up. 🥳 #ServerSideSwift 

#SwiftLang #codevapor #FeatherCMS #Xcode",tiborbodecs,1602039786759389185,https://twitter.com/tiborbodecs/status/1602039786759389185,suppose leveled up. 🥳 serversideswift swiftlang codevapor feathercms xcode,positive,0.8580546379089355
2022-12-10 10:10:03+00:00,"🥳 This is so exciting:
https://t.co/v4MHT53076

#SwiftLang #Xcode #codevapor #iOSDev",tiborbodecs,1601519606744903681,https://twitter.com/tiborbodecs/status/1601519606744903681,🥳 exciting: swiftlang xcode codevapor iosdev,positive,0.9786500930786133
2022-12-10 09:05:29+00:00,"@SwiftServerConf @codevapor Both the presentation and the demo are open source, if anyone is looking for reference: https://t.co/KCKZJvHLRT",MrSkwiggs,1601503357658492928,https://twitter.com/MrSkwiggs/status/1601503357658492928,"presentation demo open source, anyone looking reference:",neutral,0.8409191966056824
2022-12-10 02:22:25+00:00,@halluxdev @helje5 @codevapor I’d be happy to support such efforts. They’re valid opinions after all. It’s just the delivery..,JoannisOrlandos,1601401920572178432,https://twitter.com/JoannisOrlandos/status/1601401920572178432,5 i’d happy support efforts. they’re valid opinion all. it’s delivery..,positive,0.8620007634162903
2022-12-10 02:19:59+00:00,"@JoannisOrlandos @helje5 Well that's what I'm indicating, if Helge has knowledge of methods to improve @codevapor why not propose them to the team, and then make the changes and PR?",halluxdev,1601401308430274560,https://twitter.com/halluxdev/status/1601401308430274560,"5 well that's i'm indicating, helge knowledge method improve propose team, make change pr?",neutral,0.8352022767066956
2022-12-09 14:59:29+00:00,@SwiftServerConf is happening today. I couldn’t make it but sponsored @codevapor a little bit to celebrate it! https://t.co/Kw4maZrnkE,ainame,1601230058034954240,https://twitter.com/ainame/status/1601230058034954240,happening today. couldn’t make sponsored little bit celebrate it!,positive,0.6166813373565674
2022-12-09 14:46:59+00:00,"Then, @MrSkwiggs is talking about running @codevapor on iOS 🤯 https://t.co/M1SeBu1WQY",SwiftServerConf,1601226909467414528,https://twitter.com/SwiftServerConf/status/1601226909467414528,"then, talking running io 🤯",neutral,0.7257589101791382
